data	azul	gol
01/11/2017	27,36	13,86
31/10/2017	27,4	13,85
30/10/2017	28,5	14,2
27/10/2017	29,94	14,99
26/10/2017	29,6	14,71
25/10/2017	30	15,11
24/10/2017	29,97	15,26
23/10/2017	29,06	14,7
20/10/2017	29,3	15,23
19/10/2017	28,5	14,96
18/10/2017	28,91	15,06
17/10/2017	28,45	14,4
16/10/2017	28,71	14,56
13/10/2017	29,2	15,2
11/10/2017	29,85	15,47
10/10/2017	30,4	15,6
09/10/2017	30	15,44
06/10/2017	30,06	15,42
05/10/2017	30,12	15,17
04/10/2017	29,9	14,3
03/10/2017	29,9	14,4
02/10/2017	28,72	13,57
29/09/2017	29,2	13,35
28/09/2017	28,25	12,7
27/09/2017	28,77	12,85
26/09/2017	28,88	13,11
25/09/2017	29,4	13,35
22/09/2017	29,85	13,74
21/09/2017	30,39	14,09
20/09/2017	30,31	13,57
19/09/2017	30,04	13,76
18/09/2017	29,81	13,81
15/09/2017	30	13,5
14/09/2017	28,81	13,37
13/09/2017	27,91	12,99
12/09/2017	26,44	12,75
11/09/2017	27,9	12,9
08/09/2017	27,64	12,58
06/09/2017	27,84	12,76
05/09/2017	27,31	12,48
04/09/2017	27,18	11,6
01/09/2017	26,89	11,38
