casario,Total
1196,4160
987,3508
1239,4192
1272,4159
1233,4245
1149,3850
1164,4159
1130,4139
977,3545
1111,4015
1116,3710
1157,4095
1125,4209
1021,3682
1272,4184
1191,3947
1154,4097
1187,3901
1192,3953
1232,4138
1227,4402
1191,4053
1062,4082
950,3317
1123,3894
1166,3851
1291,4332
1102,3918
1174,4096
1083,3670
1260,4170
1307,4353
1315,4473
1341,4584
1094,3985
1064,3784
1296,4478
1106,4057
1259,4309
1336,4397
1363,4768
1281,4211
1213,4298
1440,4905
1391,5010
1491,5363
1363,5138
1356,5136
1351,5016
1164,4431
1317,4942
1196,4781
1190,4702
1121,4483
1116,4402
1258,4936
1370,5279
1268,5115
1128,4425
1207,4668
1220,5167
1106,4688
1244,5155
1242,5126
1307,5076
1346,5118
1329,5173
1282,5266
1388,5218
1351,5531
1269,5291
1313,5228
1410,5671
1308,5320
1447,5828
1423,5452
1424,5584
1383,5353
1417,5595
1426,5733
1464,5929
1505,6096
1392,5723
1455,5362
1374,5701
1237,5306
1417,5808
1480,5766
1423,5998
1362,5612
1349,5743
1380,5724
1355,5945
1433,6255
1370,6371
1346,6023
1408,6208
1274,5464
1432,6087
1352,5966
1370,5953
1300,5611
1345,5827
1333,5693
1343,5686
1461,6096
1427,6032
1434,6048
1447,6163
1211,5445
1426,6173
1360,5711
1447,5985
1371,5796
1602,6008
1522,6009
1585,6202
1511,5803
1472,5811
1481,5645
1557,6232
1457,5591
1610,6102
1540,5850
1647,5908
1655,5905
1733,5932
1690,5896
1828,6280
1769,5987
1699,5965
1734,5697
1741,5886
1618,5696
1982,6769
1829,6369
1851,6385
1856,6156
1797,5949
1827,6098
1804,6149
1825,6161
1807,5991
1835,5879
1864,6196
1768,5753
2007,6327
1930,6239
1974,6216
1974,6133
2031,6193
2148,6426
2192,6710
2280,6884
2059,6341
2012,6166
2088,6510
1874,5797
2213,6531
2008,6008
2069,6106
1965,5930
1967,5869
2127,6267
2121,6443
2149,6295
2022,5734
2054,5979
2121,6073
1991,5716
2208,6429
2191,6182
2092,6224
1985,5780
2122,6162
2207,6320
2415,6850
2344,6601
2131,6231
2285,6462
2136,6360
1984,5654
2375,6507
2201,6115
2182,5987
2080,6121
2286,6264
2321,6379
2435,6801
2408,6751
2204,6422
2279,6368
2237,6453
2121,5981
2439,6527
2357,6207
2157,5904
2115,5656
2365,5965
2332,6050
2500,6491
2608,6719
2410,6188
2301,6047
2327,6362
2118,5696
2435,6503
2240,6104
2376,6342
2244,5986
2353,6175
2481,6510
2409,6482
2591,6772
2422,6647
2367,6623
2410,6611
2325,6309
2462,6375
2340,6091
2421,6286
2314,6089
2398,6289
2548,6648
2489,6491
2619,6929
2559,6616
2566,6700
2550,6800
2241,6004
2637,6672
2534,6485
2515,6687
2370,6292
2539,6532
2476,6473
2601,6909
2699,6897
2484,6737
2438,6553
2525,6699
2348,6186
2631,6831
2481,6558
2541,6890
2468,6595
2532,6678
2577,6837
2654,6969
2667,7162
2607,6849
2691,6891
2553,6876
2357,6099
2489,6680
2570,6691
2505,6784
2373,6368
2468,6634
2478,6720
2620,6908
2546,6947
2428,6668
2440,6722
2382,6767
2178,6245
2317,6523
2293,6237
2250,6308
2219,6064
2328,6311
2355,6572
2301,6508
2257,6404
2179,6319
2330,6445
2421,6447
2250,5901
2479,6554
2347,6360
2570,6737
2464,6474
2429,6377
2498,6489
2577,6778
2655,6902
2500,6525
2367,6522
2543,6583
2183,5679
2529,6475
2592,6562
2615,6565
2320,6147
2657,6637
2630,6678
2539,6825
2582,6798
2489,6632
2532,6506
2557,6597
2348,6036
2573,6573
2424,6269
2483,6312
2359,6000
2464,6269
2656,6700
2791,7168
2733,6955
2495,6424
2435,6319
2527,6458
2422,6226
2491,6576
2233,6055
2288,6292
2363,6018
2548,6432
2535,6414
2597,6471
2693,6455
2499,6083
2473,6155
