RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MG;MS;GO;DF
112812;34840,05;274773;31695,63;1011353,04;43084;65876,62;737033,3;131052;518714;268614,11;236448,97;643102,49;285489;192207,02;1444451,49;3553254,24;607655,14;2612753,07;7976304,95;1596274,29;1132926,27;1780912,48;272917,41;292173,45;630624;311459
105806;33050,33;278429,72;30802,28;967109,34;28944;63306,92;694591,8;110758;469181,31;233950,88;226289,39;612231,66;266555;182026,13;1344183,83;3409387,94;583260,07;2630033,87;7919049,63;1635575,94;1230305,38;1824346,44;270613,42;296942,39;602529;285928
106668;33858,03;270420;30275,52;1022952,89;42451;67551,25;743086,2;112344;508966,11;257966,1;242215,12;658774,05;259855;195611,08;1393925,45;3418051,32;599525;2582060,82;8116797,54;1656643,76;1300745,9;1941380,74;278720,54;332886,99;622783;300453
107580;34961,02;279044,7;33035,03;1032233,03;40234;71774,33;728379;123168;523200,12;264504,74;235364,14;674646,39;289626;204065,06;1419046,03;3488474,56;583307,17;2626340,44;8623046,79;1691910,14;1215161,08;1966239,92;290653,111;353039,55;644083;322911
112115,8;29766,47;283866;28944,36;1057805,52;38522;74458,77;751060,16;121261;501515;258761,56;234298,81;649438,38;284219;186831,22;1436199,39;3511936,02;586400,86;2530944,98;8096487,86;1656608,65;1223449,92;1842967,59;267345,28;328933,88;654000;315509
107816,5;32048,6;285251;29531,8;1067141,38;41854;77738,63;730462;122482;511009;263985,24;236512,27;642487,26;284384;193240,77;1424739,2;3592659,14;571593,44;2366320,42;8191582,41;1621652;1160112,93;1774798,63;251956,73;328386,13;687091;309763
108589;33659,7;295884;28212,49;1083198,64;40924;74534,74;741749,91;120148,2;495416;249242,91;235539,26;619249,73;282241;197780,39;1434806,72;3563675,62;585851,57;2466119,02;8302446,25;1621327,49;1195777,68;1781687,72;251231,95;353610,68;688157;318750
110858;34837,46;296649,53;28722,61;1138723,5;41429;78675,79;757367,1;123974;531184,82;262303,05;233748,43;634549,38;281415;193385,83;1420586,98;3625192,93;589390,09;2407957,82;8389078,03;1658482,09;1212734,2;1781966,15;270452,77;344131,23;716152;314954
116058;36879,8;308616,48;29796,91;1069492,02;44138;82175,33;745555,45;135732;564012,76;265269,31;245145,6;681675,94;279917;195500,37;1457221,91;3719209,63;598050,52;2494812,2;8605471,39;1696237,39;1190300,78;1767873,41;270627,76;364076,28;750537;341926
120268;36948,04;319945,58;31634,27;1090780,43;46695;77895,43;786961,35;135439;553697,64;276664,49;253093,51;687210,59;290729;200142,81;1473942,6;3697447,22;609691,62;2567499,56;8777612,76;1669722,79;1192551,25;1728423,46;278831,72;362464,59;746582,59;355619,64
119959;38066,13;310684,18;33054,71;1097026,84;46641;74206,6;745748,48;138289;575825,51;293826,36;253953,47;705356,9;289596;210695,1;1495174,01;3837782,06;604979,17;2572550,23;8607786,72;1684955,57;1222754,73;1621708,93;272868,24;346869,63;649537,37;335532,11
116378;36879,95;321545,42;34181,8;1110612,54;46518;74505,15;757937,77;132442;575617,59;300457,75;258616,45;730310,7;296464;214853,76;1503809,7;3733952,72;614381,18;2677810,94;8543644,11;1683515,25;1221422,93;1760276,28;286730,51;344088,28;658675,73;345619,02
116926;36639;299782,72;32339,61;1083695,22;46518;71638,03;756950,33;136669;563304,02;286725,74;261435,67;728644,46;309966,34;210817,91;1520662,46;3669475,18;631196,92;2757857,94;8304845,29;1636130,75;1214278,92;1959006,52;284291,181;311955,86;651985,92;336585,45
109653;35531,83;289645,34;31152,73;1035911,59;46420;70809,88;698107,21;125819;544337,13;281224,36;246418,34;687891,56;299491,17;200082,32;1442667,02;3609704,55;598997,15;2588172,18;8220376,98;1673422,71;1294827,79;1998335,36;267508,95;332028,4;646489,61;323650,81
116662;37499,67;289247,04;30294,34;1076644;46502;72748,48;755229,71;120198;559221,14;284825,7;260803,84;752498;305007,01;215087,18;1439330,91;3532512,9;638275,45;2658663,97;8533406,55;1723700,08;1321788,7;2024384,43;300899,289;370910,33;650791,23;327710,56
115809;34285,9;296436,19;32622,68;1051344,77;46488;74899,97;723070,79;122269;550633,39;289515,51;262054,23;724658,1;309318,63;215037,36;1478858,47;3803170,13;634949,14;2854588,52;8862728,81;1791900,96;1325591,97;1879515,21;307086,05;376985,07;706733,06;335980
117752;34663,76;297431,24;30139,31;1088058,32;44046,26;77317,69;761257,91;127469;559737,61;294997,67;256928,2;708030,11;302801;207359,34;1520019,83;3770817,36;629676,33;2668163,24;8513306,5;1712425,68;1263147,57;1824247,33;290130,14;366865,72;692305,12;323056,36
119882;38933,6;310960,75;29714,09;1070248,97;44513;78035,55;762777;130358;546498,7;275820,23;245076,92;667440,02;289531,8;210641,02;1447071,15;3717822,1;628663,9;2640653,24;8646727,75;1698767,05;1253765,33;1807791,41;269369,27;369295,54;687207,52;338616,02
123359;37976,61;317580,81;29958,3;1086133,84;44573;79336,22;769694,34;132847;549962,27;292472,34;247285,54;646352,4;290315,09;200148,48;1514701,02;3711710;622957,49;2544681,6;8629769,35;1666263,51;1254671,22;1803627,33;260204,37;371866,73;751589,77;342279,49
115911;36379,86;322775,98;29800,85;1093866,17;43866;82857,45;786400,85;131931;582136,03;292479,19;254729,33;682357,89;308549,37;199759,59;1501307,31;3765532,48;636703,58;2593486,44;8689295,13;1696737,65;1256271,55;1790649,79;260890,629;362958,1;752015,59;341207
122495;39859,92;338804,21;32703,07;1080809,62;51104,5;86384,48;769461,86;143183;578428,83;295852,36;258094,17;696510,6;307224,06;209592,6;1505433,38;3889191,62;645068,81;2780127,96;8929122,44;1702889,06;1220737,63;1730504,55;273153,96;381699,58;764605,82;353607
124693;41717,17;332436,19;32953,53;1131542,87;50480,52;82355,13;792654,91;148761;595935,95;302204,79;266631,89;724671,8;275948;222470,45;1520260,39;3843654,16;652504,3;2637308,45;8941381,64;1702747,94;1244189,35;1721825,06;270465,99;364609,75;752864,82;368043
127387;42666,85;334370,91;36234,55;1118779,81;48561,8;79685,82;785051,38;149440;598470,52;311057,05;273756,01;735154,11;327416;226572,42;1512473,64;3891791,34;641410,78;2714012,28;8842228,52;1735832,7;1246288,09;1766221,64;278946,41;359360,43;742612,37;361834,78
128797;41224,35;315160,26;31643,83;1130731,7;50835,42;75875,86;859749,86;144734;595021,39;328161,22;267609,31;743785,01;314279;225130,43;1526993,68;3734625,06;645852,51;2789956,28;8793529,42;1734920,96;1275985,03;1937836,89;283976,42;352507,85;672949,33;350343
122877;39805,14;298209,95;30879,22;1115851,17;46759,86;73549,52;815423,59;135330;595421,01;292111,17;269455,44;736715,33;306138,52;219440,4;1543146,41;3708988,21;657079,75;2688250,37;8641301,88;1750081,32;1238641,65;1938876,8;279925,76;322865,04;678989,95;334796,16
116242;39150,57;304794,69;31221,04;1033671,9;46371,39;74900,31;756882,89;130490;567170,59;298099,11;265295,62;695496,39;304670,45;215680,88;1470255,15;3696699,7;669631,94;2868408,51;8944077,47;1774675,76;1360618,68;2051927,89;282430,6;352411,09;684590,71;347621,17
120809;39284,59;302554,01;31184,04;1126979,05;45138;75111,26;815146,96;125245;561689,25;317714,59;270569,92;769090,59;326531,43;226488,55;1563545,59;3621786,53;700442,11;2769129,76;9181858,35;1765044,25;1419444,3;2027020,84;290346,64;372387,52;685898,83;347386,77
121517;41205,67;315254,42;30199,04;1101862,77;48462;75152,49;823687,19;128022;555420,33;296291,34;272794,66;736370,8;325870,57;223170,49;1494710,99;3808440,19;669347,03;2816916,29;9199514,92;1799544,01;1334744,73;1928254,13;295096,35;369401,45;701304,11;375398,04
117740;38259,49;314094,47;31517;1127802,36;45702;78843,87;817066,35;127217;558304,35;296685,57;273337,55;730604,22;258974,26;222264,52;1509377,73;3740285,17;661887,01;2646725,1;8836937,24;1733138,79;1242691,55;1831310,66;266609,66;338953,43;712578,91;366130,3
119680;38734,46;322463,08;30675,93;1121515,79;49104;79746,77;827200,64;133976;561211,95;304075,61;270753,85;697088,28;275229,16;217248,84;1482737,73;3848372,18;652583,13;2480632,29;8988295,41;1749989,42;1290829,86;1838966,49;260415,08;353588,12;729131,21;344552,32
131681;43788,34;330310,03;28797,64;1148233,9;50442;79676,34;851831,53;141395;551525,96;299123,36;257342,41;697130,67;271425,04;210868,11;1479518,06;3777480,82;642793,5;2647172,01;8914260,19;1739522,18;1290985,97;1816864,95;265042,96;369394,95;735545,97;341656,34
129918;41193,18;339054,1;29695,45;1172641,38;52283;87157,77;883056,03;138587;580901,93;315092,28;270998,48;690133,03;295097,75;221196,36;1544336,77;3858993,89;689823,62;2648540,61;9154711,66;1805138,02;1302916,39;1849906,6;276585,49;383804,44;772086,03;352386,8
139183;45486,08;359009,08;33964,77;1164266,66;55491;88913,87;870436,96;148516;594826,75;313561,7;269280,67;701300,15;291495,49;220819,51;1540715,84;3944751,62;672782,28;2561062,84;9255669,44;1750717,47;1303078,33;1787706,63;272468,519;392503,68;754545,92;384076,28
137709;44970,4;346915,24;34886,94;1194717,51;54285;86475,32;899816,34;147079;621035,8;334813,77;281007,99;755412,28;311416,97;221416,57;1569502,21;3829095,29;669620,48;2675694,11;9278987,86;1771832,32;1286742,86;1793809,32;282904,97;386879,46;758927,23;367571,08
131735;46118,96;355092,82;35116,31;1166822,07;53135;83553,45;871288,47;151388;624502,98;335094,53;292429,26;759765,68;318256;229038,37;1550968,17;3958582,65;669217,22;2751918,81;9342904,8;1837187,36;1346842,38;1859919,52;295569,04;384119,96;701107,65;379446,9
134813;46769,92;336693,14;33793,41;1177378,28;53698;81224,19;897669,26;147496;606952,02;330992,98;285813,67;786701,11;317105,16;235173,77;1514805,54;3773494,51;667104,83;2839134,53;9409914,3;1796792,37;1306778,58;1971304,32;300343,51;372736,17;700696,77;368599,69
128493;42215;312475;35749;1180334;52994;81448;890493;144519;605060;328903;281295;783429;331620;236684;1582825;4040359;695639;2842070;9121802;1773870;1362163;2067396;290614;351185;773375;362695
128342;45068;320268;33111;1098723;48024;79450;809315;140396;590036;322914;270344;753749;321780;226878;1447740;3981488;677737;2747046;9209088;1824654;1437507;2089776;288539;374711;702031;355954
124676;44111;323030;35788;1164173;48586;80173;868514;124398;555759;324153;284553;785722;307461;228456;1506431;3917893;721907;3138732;9510010;1847893;1469772;2106394;304444;403350;720266;366255
130877;43629;334719;35881;1153880;48388;85493;871738;134804;595118;328843;283947;780940;311332;237218;1574007;4158376;726746;3048772;9827478;1901519;1447152;2055988;316217;415005;779097;403580
134470;44184;335441;35211;1202909;49688;87524;904446;138460;585007;320781;287147;789314;281633;214106;1611848;4175550;715984;2783099;9615895;1836409;1404096;1979336;293543;399434;777485;379917
131916;41859;350911;34038;1196630;53428;90536;874990;142851;593903;319902;273878;759461;313838;218709;1582049;4134851;677187;2548962;9529489;1817184;1380165;1917258;266893;380684;750637;384551
137448;44820;337251;31787;1220940;52467;88079;901373;141882;590897;316110;272817;745167;303033;225131;1635476;4049422;670610;2518461;9351049;1801200;1366450;1889248;273659;405480;749426;380616
135274;44102;356199;34555;1236312;50958;93308;929030;144876;617797;323798;277560;744858;309509;231101;1634423;4171542;697445;2604039;9497706;1866616;1393202;1934827;273494;410786;783267;384549
148596;47298;361337;35567;1219828;57185;94796;891209;154837;613243;329406;273632;733323;287191;227699;1637484;4253615;677804;2706574;9947517;1881115;1393442;1883284;292190;428512;762023;397029
144772;49165;367171;36003;1259728;55565;94121;931758;155195;647142;338813;297417;794652;312799;240213;1723005;4221229;704127;2697345;9865949;1933111;1393953;1913330;307795;444506;798866;408005
145373;48531;376022;39537;1238990;54117;93012;915287;167850;653447;348304;305978;806500;337471;246824;1721054;4334405;751833;2811192;10085835;1928311;1434154;1932445;304412;409820;756981;406806
143568;46336;360832;38067;1260074;54522;87618;928795;160982;651412;352101;303794;852714;329131;248396;1719455;4191547;727315;2804883;9897567;1919298;1397757;2016108;312955;391390;707190;401119
138465;46028;331368;35196;1195285;54293;89685;915225,27;156434;622812;344022;307173;808510;350434;248582;1752197;3910849;727416;3031344;9488024;1909381;1389360;2192337;288472;374025;754671;394358
133501;45807;331440;36036;1153500;48433;87579;843993,65;146903;621114;346277;299397;797931;330540;238929;1659685;3648135;693553;2835148;9911891;1941214;1528402;2219931;295967;389138;754858;391638
134855;45097;339761;36752;1209720;49889;84432;897788,86;140331;610662;344927;297464;826423;339146;246965;1662199;3973471;712044;2930457;9677959;2012508;1534687;2176639;304564;419658;732629;377687
138913;46184;341144;37186;1185964;51074;88434;865475,29;135496;581639;325614;296192;792763;328117;248215;1693110;3852696;712944;2908052;9811222;2013054;1491938;2099352;304043;420074;773211;410550
141117;45889;361100;37758;1204944;49667;92559;900150,39;142946;601608;323292;299701;814884;322019;240444;1791863;4100530;749627;2860706;9866399;1903886;1470604;2007848;298123;409064;852742;410493
140705;45104;359481;35306;1247513;56602;96232;893574,79;148286;602625;314179;293089;777357;304535;229893;1677496;4163045;733014;2623702;9660684;1954415;1414275;1999591;276653;422938;861184;411509
139671;46190;359733;34910;1269710;53274;95058;935394,03;143535;630237;317615;292872;775514;312631;237046;1689346;4161299;732777;2683517;9874403;1939921;1455747;2023359;280341;445126;822396;398730
153353;52834;390771;34816;1277788;57191;100054;947652,63;153489;643449;317902;298491;769220;315364;236239;1718424;4273051;751894;2754181;10204766;1983061;1502269;2034853;307576;465079;867613;402148
160247;51827;398919;39908;1297083;58858;105645;936394,69;163787;655093;336388;300087;782212;317375;238227;1732150;4261035;750252;2723433;10134297;1998583;1455077;1959089;315694;493247;872903;426276
155112;52747;388833;40884;1344879;61394;107333;961541,38;170216;693888;350269;312840;838744;305693;252558;1799295;4261176;776778;2818813;10375220;1991120;1480680;2009662;310451;480072;893554;440025
159680;53493;394311;41631;1268284;65184;99161;937932,51;177810;678113;355174;315201;856867;339425;254362;1670664;4321299;693222;2870700;10278890;2010478;1475054;1955553;334177;468569;891862;443070
154233;51403;359102;39615;1276296;61584;90085;930688,49;163782;681614;366086;309038;889627;342853;258484;1593667;3732483;568682;2682604;9676080;1953644;1383996;2028391;322680;437229;791294;414038
149272;50426;329661;37512;1263146;58480;93416;928063;159326;685028;350083;309739;784284;328802;252691;1542315;3550614;552533;2806552;9214649;1875844;1359582;2044046;306892;414707,2;793156,6;425842
146857;49322;318688;38286;1105373;54803;90833;807085;149497;619992;327442;288272;772196;329233;256555;1548413;3387650;587741;2843791;9371351;1924896;1449885;2090359;310382;433016,01;785803,7;407421
142553;44789;331379;38990;1180971;52594;91214;861919;141394;618623;339349;305587;813957;317468;255365;1737341;3462360;643515;3033619;9792071;2049129;1515326;2178157;331479;469019,01;809246,5;420335
149795;51492;334981;39939;1189792;54460;98568;842430;143291;615309;334110;305565;843022;324488;265145;1634487;3694956;630070;2802093;9900411;2062760;1481664;2127132;353834;458656,5;864139,3;440203
157115;49207;345127;43593;1178005;54758;95754;898813;144386;615709;319921;302783;835953;310678;241379;1520184;3641730;568841;2662822;9626758;1877317;1414260;1974863;332116;462282,3;840587,6;430511
153570;48626;351824;38707;1242804;56801;101491;861533;148040;614239;316696;295444;806576;297073;242549;1540346;3646282;628850;2513134;9541853;1957259;1363586;1940198;293793;445551,45;841949,5;426395
157224;48780;347954;37708;1268925;55830;107272;902258;150395;635046;316432;303923;809472;290755;235273;1613806;3651841;706460;2609791;9687787;1954059;1384008;1976978;286498;478149,23;883904;424463
163459;51280;394413;38813;1257272;58339;111315;936600;156588;678471;336579;311900;834820;303074;248226;1695018;3956382;718540;2524642;9958879;1998447;1391198;2002543;294135;481842,5;925403,1;434027
172020;56546;391390;42774;1251738;63772;111294;933962;166269;681184;349858;305026;837536;318049;249475;1739886;3986793;706689;2680420,1;10143086;2007916;1384063;1970645;305141;492860,71;912528;455745
172568;56857;409734;45239;1277654;65378;108392;950525;178993;718245;365008;327555;877025;308165;273267;1780992;4000667;752251;2783854;10321748;2022153;1432272;1986525;314098;497430,74;931116,4;461821
177619;57219;405576;46723;1274365;66606;104261;934771;186789;722155;375054;327031;896987;326496;269742;1666847;4105075;717707;2927367,4;10308778;2068548;1508486;2014782;332726;462376,6;882384,2;450349
171703;56722;401029;42969;1277209;66436;105648;935828;178260;713681;396747;331668;976778;327809;276794;1830503;4007135;757054;3122783,2;10314990;2105564;1495813;2138006;345613;444429,6;833401,9;468621
167599;54661;369600;45039;1263569;62585;103496;962612;179415;713169;365312;330804;861949;338838;271155,35;1716692;4076332;792152;3151953;9663701,3;2058913;1516949;2222844,31;327164;440422;847510;457229
157710;53360;368840;42057;1187333;60778;107820;882111;171398;683893;343086;320908;866720;335503;259446;1726367;4038372;805964;3139591;10129496;2147314;1530630;2301403;331736;435924;863947;439139
